name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
LA1	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LA2	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LA3	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LA4	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LA5	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LA6	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LA7	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LA8	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LA9	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LA10	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LA11	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LA12	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LB1	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LB2	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LB3	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LB4	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LB5	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LB6	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LB7	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LB8	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LB9	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LB10	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LB11	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LB12	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LC1	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LC2	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LC3	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LC4	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LC5	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LC6	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LC7	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LC8	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LD1	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LD2	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LD3	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LD4	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LD5	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LD6	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LD7	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LD8	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LE1	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LE2	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LE3	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LE4	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
LE5	SEEG	V	0.0	256.0	StereoEEG	512.0	good	n/a
